INPUT,OUTPUT,helper
0.0013,4.1375,9995
0.0016,4.1376,9994
0.0021,4.1375,9993
0.0025,4.1375,9992
0.003,4.1375,9991
0.0033,4.1374,9990
0.0042,4.1372,9989
0.0043,4.1375,9988
0.0049,4.1375,9987
0.0057,4.1376,9986
0.0057,4.1376,9985
0.0064,4.1376,9984
0.0074,4.1376,9983
0.0067,4.1374,9982
0.0084,4.1374,9981
0.0087,4.1375,9980
0.0082,4.1376,9979
0.0097,4.1375,9978
0.0104,4.1375,9977
0.0095,4.1375,9976
0.0115,4.1375,9975
0.0109,4.1373,9974
0.0119,4.1373,9973
0.0127,4.1373,9972
0.0122,4.1375,9971
0.0134,4.1376,9970
0.0152,4.1376,9969
0.0132,4.1376,9968
0.0153,4.1376,9967
0.0158,4.1376,9966
0.0147,4.1375,9965
0.0173,4.1374,9964
0.0175,4.1375,9963
0.0161,4.1375,9962
0.0183,4.1374,9961
0.0177,4.1373,9960
0.0188,4.1376,9959
0.0202,4.1373,9958
0.019,4.1374,9957
0.0205,4.1374,9956
0.0219,4.1376,9955
0.0199,4.1376,9954
0.0219,4.1376,9953
0.0239,4.1375,9952
0.0216,4.1373,9951
0.0238,4.1375,9950
0.0244,4.1375,9949
0.0231,4.1376,9948
0.0256,4.1376,9947
0.0258,4.1375,9946
0.0246,4.1376,9945
0.0267,4.1375,9944
0.0262,4.1376,9943
0.0274,4.1376,9942
0.029,4.1377,9941
0.0272,4.1375,9940
0.0288,4.1376,9939
0.0303,4.1376,9938
0.0287,4.1376,9937
0.0311,4.1374,9936
0.0313,4.1375,9935
0.0303,4.1375,9934
0.0322,4.1376,9933
0.0328,4.1376,9932
0.0321,4.1376,9931
0.0339,4.1375,9930
0.0335,4.1375,9929
0.0345,4.1374,9928
0.0356,4.1374,9927
0.0347,4.1375,9926
0.036,4.1375,9925
0.037,4.1375,9924
0.0366,4.1375,9923
0.0376,4.1377,9922
0.0381,4.1376,9921
0.0381,4.1376,9920
0.039,4.1376,9919
0.0395,4.1376,9918
0.04,4.1376,9917
0.0404,4.1374,9916
0.0412,4.1376,9915
0.0414,4.1375,9914
0.0417,4.1373,9913
0.0427,4.1375,9912
0.0427,4.1374,9911
